sentences,triples,verb,cluster,triples_id
"Praying with Anger is a 1992 Indian-American drama film , known for M. Night Shyamalan who made his directorial debut , produced , wrote and starred in the film .","['M. Shyamalan', 'make', 'directorial debut']",make,1,"[[74165, 18335, 74758]]"
"Later , Arjuna built the Aranmula Parthasarathy Temple during his conquest for Ashvamedha in South India .","['Arjuna', 'build', 'Aranmula Parthasarathy Temple']",build,1,"[[41724, 20776, 56741]]"
"As the version in Exodus and 1 Kings are written by Deuteronomistic According to , after Jeroboam establishes the northern Kingdom of Israel , he contemplates the sacrificial practices of the Israelites .","['Jeroboam', 'establish', 'northern Kingdom of Israel']",establish,1,"[[43623, 16371, 29485]]"
"With the regular construction of turbines , boilers , steam and diesel engines Sir Barnes Wallis , later famous as an aeronautical engineer , worked as a draughtsman for the company at the start of his career , before moving to Vickers to design airships .","['Barnes Wallis', 'work', 'boiler']",work,1,"[[76990, 20616, 82937]]"
"Before 1290 the area constituted a castellany , which together with Castellany of Racibórz formed the Duchy of Racibórz in 1172 .","['castellany', 'form', 'Duchy of Racibórz']",form,1,"[[262, 17631, 252]]"
"Salona was an early Roman settlement , which became overshadowed when Emperor Diocletian constructed the nearby Diocletian 's Palace in about the year 300 AD .","['Diocletian', 'construct', ""Diocletian 's palace""]",construct,1,"[[23879, 25664, 27513]]"
"In 1909 , Theodore Roosevelt created the Hawaiian Islands National Wildlife Refuge -LRB- HINWR -RRB- , which is under the jurisdiction of the U.S. Fish and Wildlife Service -LRB- USFWS -RRB- .","['Theodore Roosevelt', 'create', 'hawaiian Islands National Wildlife Refuge']",create,1,"[[10123, 3846, 190]]"
"He owned 55,000 peasants and a number of mills , distilleries , and factories that produced iron , bricks , and salt .","['mill', 'produce', 'iron']",produce,1,"[[68406, 17934, 27302]]"
"In 1984 , the Pennsylvania Department of Transportation was planning to extend PA Route 145 and US 222 .","['Pennsylvania Department of Transportation', 'extend', 'pa route QUANT_O_1']",extend,2,"[[53094, 15360, 1776]]"
"Between 1905 and 1916 , the Lehigh Valley Railroad , which owned the island and causeway , expanded the island with landfill , and the entire area was annexed by Jersey City .","['Lehigh Valley railroad', 'expand', 'island']",expand,2,"[[15290, 18071, 82927]]"
"In November 1938 , Bozhilov became Minister of Finance in the government of Prime Minister Georgi Kyoseivanov , a position which Bozhilov kept when Bogdan Filov became prime minister in 1940 .","['Bogdan Filov', 'become', 'prime minister']",become,3,"[[80268, 14475, 57527]]"
"The compilation album featured twenty two of their tracks , and went platinum within weeks of release .","['compilation album', 'go', 'platinum']",go,3,"[[23258, 11775, 57590]]"
"Rarelyin less than 0.1 % of patientsclindamycin therapy has been associated with anaphylaxis , blood dyscrasias , polyarthritis , jaundice , raised liver enzyme levels , renal dysfunction , cardiac arrest , and/or hepatotoxicity .","['anaphylaxis', 'raise', 'liver enzyme level']",raise,4,"[[63303, 3351, 35470]]"
"In 2003 , the Braves pushed the Chicago Cubs to the fifth game before falling .","['Braves', 'push', 'Chicago Cubs']",push,4,"[[76386, 15608, 58712]]"
"Girl power is a slogan that encourages and celebrates women 's empowerment , independence , and confidence .","['slogan', 'encourage', ""woman 's empowerment""]",encourage,4,"[[54195, 5298, 11833]]"
"The Social Democratic and Labour Party , which until recently was the largest nationalist party in Northern Ireland , promotes social democracy , while militant republican parties such as Sinn Féin , Republican Sinn Féin , and the 32 County Sovereignty Movement all promote their own varieties of democratic socialism intended to re-distribute wealth on an all-island basis once a united Ireland has been achieved .","['Labour Party', 'promote', 'social democracy']",promote,4,"[[34953, 23141, 52701]]"
"On September 24 , 1995 , Lincoln Public Schools dedicated the new Dorcas C. and Alva B. Cavett Elementary School in their honor .","['Lincoln Public Schools', 'dedicate', 'Alva B. Cavett Elementary School']",dedicate,5,"[[41739, 4542, 3613]]"
Prose and poetry writer Ivan Vazov devoted an ode to the revolutionary .,"['Ivan Vazov', 'devote', 'ode']",devote,5,"[[60206, 23187, 70287]]"
